week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-04-07,Friday,casual,3529,18.3
2024-04-07,Friday,member,8159,11.52
2024-04-07,Saturday,casual,9260,27.19
2024-04-07,Saturday,member,10016,14.64
2024-04-14,Sunday,casual,11238,29.08
2024-04-14,Sunday,member,10735,16.09
2024-04-14,Monday,casual,4734,20.75
2024-04-14,Monday,member,11274,12.7
2024-04-14,Tuesday,casual,3128,16.54
2024-04-14,Tuesday,member,9786,11.78
2024-04-14,Wednesday,casual,3323,16.67
2024-04-14,Wednesday,member,10335,11.65
2024-04-14,Thursday,casual,2808,16.45
2024-04-14,Thursday,member,9325,11.29
2024-04-14,Friday,casual,4418,18.28
2024-04-14,Friday,member,9472,11.38
2024-04-14,Saturday,casual,3938,19.23
2024-04-14,Saturday,member,6720,12.14
2024-04-21,Sunday,casual,4974,25.61
2024-04-21,Sunday,member,7077,13.39
2024-04-21,Monday,casual,3797,21.13
2024-04-21,Monday,member,10180,11.99
2024-04-21,Tuesday,casual,3550,14.65
2024-04-21,Tuesday,member,10908,11.65
2024-04-21,Wednesday,casual,2464,15.35
2024-04-21,Wednesday,member,8838,10.66
2024-04-21,Thursday,casual,3693,15.83
2024-04-21,Thursday,member,10511,11.52
2024-04-21,Friday,casual,2382,17.27
2024-04-21,Friday,member,6548,10.69
2024-04-21,Saturday,casual,9823,26.05
2024-04-21,Saturday,member,10742,15.09
2024-04-28,Sunday,casual,5196,24.51
2024-04-28,Sunday,member,7541,13.38
2024-04-28,Monday,casual,3835,19.52
2024-04-28,Monday,member,9066,11.65
2024-04-28,Tuesday,casual,5851,21.83
2024-04-28,Tuesday,member,13098,13.68
2024-04-28,Wednesday,casual,5821,22.6
2024-04-28,Wednesday,member,13411,13.65
2024-04-28,Thursday,casual,3869,17.96
2024-04-28,Thursday,member,10647,12.3
2024-04-28,Friday,casual,5747,22.98
2024-04-28,Friday,member,10549,12.65
2024-04-28,Saturday,casual,9913,26.1
2024-04-28,Saturday,member,10792,14.79
2024-05-05,Sunday,casual,6696,25.02
2024-05-05,Sunday,member,8290,13.49
2024-05-05,Monday,casual,5198,22.41
2024-05-05,Monday,member,11473,12.42
2024-05-05,Tuesday,casual,3737,16.11
2024-05-05,Tuesday,member,10055,12.07
2024-05-05,Wednesday,casual,6475,20.11
2024-05-05,Wednesday,member,13695,13.41
2024-05-05,Thursday,casual,2140,14.5
2024-05-05,Thursday,member,5968,11.43
2024-05-05,Friday,casual,6341,21.01
2024-05-05,Friday,member,11208,12.92
2024-05-05,Saturday,casual,8437,26.52
2024-05-05,Saturday,member,10205,14.61
2024-05-12,Sunday,casual,9188,29.25
2024-05-12,Sunday,member,9939,15.94
2024-05-12,Monday,casual,3821,20.12
2024-05-12,Monday,member,9466,11.87
2024-05-12,Tuesday,casual,3199,15
2024-05-12,Tuesday,member,10127,11.47
2024-05-12,Wednesday,casual,5153,18.31
2024-05-12,Wednesday,member,12670,12.6
2024-05-12,Thursday,casual,6060,19.64
2024-05-12,Thursday,member,12943,12.78
2024-05-12,Friday,casual,8311,23.67
2024-05-12,Friday,member,12984,13.34
2024-05-12,Saturday,casual,13600,26.86
2024-05-12,Saturday,member,13084,15.93
2024-05-19,Sunday,casual,10786,26.88
2024-05-19,Sunday,member,11350,15.37
2024-05-19,Monday,casual,5568,22.99
2024-05-19,Monday,member,10997,12.82
2024-05-19,Tuesday,casual,7154,20.79
2024-05-19,Tuesday,member,13901,13.46
2024-05-19,Wednesday,casual,7428,20.54
2024-05-19,Wednesday,member,14675,13.44
2024-05-19,Thursday,casual,7988,21.94
2024-05-19,Thursday,member,14457,13.23
2024-05-19,Friday,casual,6186,21.27
2024-05-19,Friday,member,10569,12.71
2024-05-19,Saturday,casual,13082,28.73
2024-05-19,Saturday,member,11751,15.82
2024-05-26,Sunday,casual,4369,22.58
2024-05-26,Sunday,member,4981,13.88
2024-05-26,Monday,casual,7344,28.46
2024-05-26,Monday,member,7762,14.66
2024-05-26,Tuesday,casual,4040,18.2
2024-05-26,Tuesday,member,10018,12.07
2024-05-26,Wednesday,casual,5891,19.97
2024-05-26,Wednesday,member,13423,12.83
2024-05-26,Thursday,casual,6338,20.67
2024-05-26,Thursday,member,13307,12.84
2024-05-26,Friday,casual,9420,23.55
2024-05-26,Friday,member,13614,14.04
2024-05-26,Saturday,casual,2815,19.66
2024-05-26,Saturday,member,4304,12.68
2024-06-02,Sunday,casual,10986,25.99
2024-06-02,Sunday,member,11224,15.64
2024-06-02,Monday,casual,7078,22.75
2024-06-02,Monday,member,12721,13.81
2024-06-02,Tuesday,casual,6585,19.18
2024-06-02,Tuesday,member,13472,13.24
2024-06-02,Wednesday,casual,8025,21.32
2024-06-02,Wednesday,member,14455,14.18
2024-06-02,Thursday,casual,7616,20.52
2024-06-02,Thursday,member,14369,13.49
2024-06-02,Friday,casual,9459,21.84
2024-06-02,Friday,member,13266,13.67
2024-06-02,Saturday,casual,8821,22.65
2024-06-02,Saturday,member,9812,14.12
2024-06-09,Sunday,casual,12960,26.65
2024-06-09,Sunday,member,11936,15.92
2024-06-09,Monday,casual,5593,20.68
2024-06-09,Monday,member,11481,12.56
2024-06-09,Tuesday,casual,6806,19.89
2024-06-09,Tuesday,member,13770,13.08
2024-06-09,Wednesday,casual,8345,20.82
2024-06-09,Wednesday,member,14551,13.8
2024-06-09,Thursday,casual,8287,20.72
2024-06-09,Thursday,member,13498,13.22
2024-06-09,Friday,casual,10125,22.26
2024-06-09,Friday,member,13667,13.78
2024-06-09,Saturday,casual,14582,26.08
2024-06-09,Saturday,member,12974,15.25
2024-06-16,Sunday,casual,10502,25.31
2024-06-16,Sunday,member,10115,15.63
2024-06-16,Monday,casual,7185,21.34
2024-06-16,Monday,member,12261,12.83
2024-06-16,Tuesday,casual,8110,20.21
2024-06-16,Tuesday,member,14162,13.19
2024-06-16,Wednesday,casual,10960,22.4
2024-06-16,Wednesday,member,14273,14.34
2024-06-16,Thursday,casual,7267,18.77
2024-06-16,Thursday,member,13189,12.76
2024-06-16,Friday,casual,11147,23.13
2024-06-16,Friday,member,13962,13.82
2024-06-16,Saturday,casual,14207,23.89
2024-06-16,Saturday,member,12189,14.87
2024-06-23,Sunday,casual,11266,26.43
2024-06-23,Sunday,member,10736,15.26
2024-06-23,Monday,casual,7719,22.85
2024-06-23,Monday,member,12590,12.94
2024-06-23,Tuesday,casual,6007,20.93
2024-06-23,Tuesday,member,10993,13.26
2024-06-23,Wednesday,casual,8402,22.03
2024-06-23,Wednesday,member,14528,13.95
2024-06-23,Thursday,casual,8774,21.79
2024-06-23,Thursday,member,14805,13.5
2024-06-23,Friday,casual,4903,18.72
2024-06-23,Friday,member,8863,12.46
2024-06-23,Saturday,casual,13311,27.09
2024-06-23,Saturday,member,12405,15.36
2024-06-30,Sunday,casual,11788,25.98
2024-06-30,Sunday,member,10810,15.54
2024-06-30,Monday,casual,7311,24.23
2024-06-30,Monday,member,12172,13.27
2024-06-30,Tuesday,casual,7553,21.43
2024-06-30,Tuesday,member,13472,13.41
2024-06-30,Wednesday,casual,9312,23.01
2024-06-30,Wednesday,member,13371,13.62
2024-06-30,Thursday,casual,11738,26.67
2024-06-30,Thursday,member,9179,16.13
2024-06-30,Friday,casual,12392,26.7
2024-06-30,Friday,member,10928,14.55
2024-06-30,Saturday,casual,15115,27.3
2024-06-30,Saturday,member,11601,16.38
2024-07-07,Sunday,casual,7498,24.5
2024-07-07,Sunday,member,7814,14.4
2024-07-07,Monday,casual,6560,21.74
2024-07-07,Monday,member,12009,13.02
2024-07-07,Tuesday,casual,3896,17.08
2024-07-07,Tuesday,member,9503,12.07
2024-07-07,Wednesday,casual,6797,20.55
2024-07-07,Wednesday,member,12931,13.43
2024-07-07,Thursday,casual,7750,20.3
2024-07-07,Thursday,member,14166,13.43
2024-07-07,Friday,casual,9966,22.14
2024-07-07,Friday,member,13626,13.78
2024-07-07,Saturday,casual,14310,24.64
2024-07-07,Saturday,member,12911,15.37
2024-07-14,Sunday,casual,8589,23.52
2024-07-14,Sunday,member,8830,14.41
2024-07-14,Monday,casual,6572,19.88
2024-07-14,Monday,member,12014,12.38
2024-07-14,Tuesday,casual,7289,19.68
2024-07-14,Tuesday,member,14041,13.05
2024-07-14,Wednesday,casual,8337,20.29
2024-07-14,Wednesday,member,15345,13.42
2024-07-14,Thursday,casual,8503,21.21
2024-07-14,Thursday,member,14403,13.4
2024-07-14,Friday,casual,11006,23.27
2024-07-14,Friday,member,13858,13.64
2024-07-14,Saturday,casual,15476,26.19
2024-07-14,Saturday,member,12970,14.97
2024-07-21,Sunday,casual,12333,25.94
2024-07-21,Sunday,member,11455,15.3
2024-07-21,Monday,casual,7986,22.18
2024-07-21,Monday,member,12941,13.13
2024-07-21,Tuesday,casual,6878,21.09
2024-07-21,Tuesday,member,13227,13
2024-07-21,Wednesday,casual,7643,19.98
2024-07-21,Wednesday,member,14631,12.98
2024-07-21,Thursday,casual,8838,21.74
2024-07-21,Thursday,member,14911,13.31
2024-07-21,Friday,casual,10731,24.42
2024-07-21,Friday,member,13869,14.1
2024-07-21,Saturday,casual,15299,25.97
2024-07-21,Saturday,member,12944,15.8
2024-07-28,Sunday,casual,8488,24.15
2024-07-28,Sunday,member,9205,14.51
2024-07-28,Monday,casual,5544,21.05
2024-07-28,Monday,member,10773,12.71
2024-07-28,Tuesday,casual,7884,21.16
2024-07-28,Tuesday,member,14644,13.49
2024-07-28,Wednesday,casual,10070,24.78
2024-07-28,Wednesday,member,15098,13.58
2024-07-28,Thursday,casual,8481,19.51
2024-07-28,Thursday,member,13366,12.88
2024-07-28,Friday,casual,10680,21.48
2024-07-28,Friday,member,13524,13.44
2024-07-28,Saturday,casual,15388,24.53
2024-07-28,Saturday,member,12986,15.43
2024-08-04,Sunday,casual,12369,25.74
2024-08-04,Sunday,member,11088,14.91
2024-08-04,Monday,casual,6815,20.49
2024-08-04,Monday,member,11158,13.35
2024-08-04,Tuesday,casual,5786,18.03
2024-08-04,Tuesday,member,12585,12.79
2024-08-04,Wednesday,casual,8478,21.42
2024-08-04,Wednesday,member,14911,13.5
2024-08-04,Thursday,casual,8122,21.33
2024-08-04,Thursday,member,14412,13.22
2024-08-04,Friday,casual,10425,23.02
2024-08-04,Friday,member,13383,13.22
2024-08-04,Saturday,casual,15512,25.38
2024-08-04,Saturday,member,13322,15.45
2024-08-11,Sunday,casual,13627,25.51
2024-08-11,Sunday,member,11704,15.99
2024-08-11,Monday,casual,6901,21.55
2024-08-11,Monday,member,12668,13.08
2024-08-11,Tuesday,casual,7916,20.09
2024-08-11,Tuesday,member,14499,13.31
2024-08-11,Wednesday,casual,8037,20.41
2024-08-11,Wednesday,member,15028,13.11
2024-08-11,Thursday,casual,4438,14.54
2024-08-11,Thursday,member,9637,12.12
2024-08-11,Friday,casual,8281,21.64
2024-08-11,Friday,member,12192,13.15
2024-08-11,Saturday,casual,8890,22.97
2024-08-11,Saturday,member,9585,14.49
2024-08-18,Sunday,casual,9611,23.68
2024-08-18,Sunday,member,10488,14.57
2024-08-18,Monday,casual,6941,20.75
2024-08-18,Monday,member,12208,13.22
2024-08-18,Tuesday,casual,7310,19.53
2024-08-18,Tuesday,member,13359,12.75
2024-08-18,Wednesday,casual,7898,18.77
2024-08-18,Wednesday,member,13839,13.05
2024-08-18,Thursday,casual,7855,19.41
2024-08-18,Thursday,member,13596,13.09
2024-08-18,Friday,casual,9663,21.23
2024-08-18,Friday,member,13381,13.18
2024-08-18,Saturday,casual,13687,24.36
2024-08-18,Saturday,member,13266,14.8
2024-08-25,Sunday,casual,10817,23.02
2024-08-25,Sunday,member,11451,14.54
2024-08-25,Monday,casual,6341,19.53
2024-08-25,Monday,member,12644,12.28
2024-08-25,Tuesday,casual,5544,16.99
2024-08-25,Tuesday,member,12157,12.04
2024-08-25,Wednesday,casual,6999,18.31
2024-08-25,Wednesday,member,14694,12.88
2024-08-25,Thursday,casual,8329,19.84
2024-08-25,Thursday,member,14806,12.93
2024-08-25,Friday,casual,8942,21.77
2024-08-25,Friday,member,12090,13.08
