week_start,day_of_week,member_casual,total_rides,avg_ride_length
2024-09-22,Friday,casual,9698,17.31
2024-09-22,Friday,member,14058,11.8
2024-09-22,Saturday,casual,10217,19.26
2024-09-22,Saturday,member,10840,12.94
2024-09-29,Sunday,casual,10654,23.5
2024-09-29,Sunday,member,10751,14.2
2024-09-29,Monday,casual,8268,18.06
2024-09-29,Monday,member,14840,11.82
2024-09-29,Tuesday,casual,6063,16.62
2024-09-29,Tuesday,member,14234,11.97
2024-09-29,Wednesday,casual,5985,16.49
2024-09-29,Wednesday,member,14552,12.28
2024-09-29,Thursday,casual,6480,17.44
2024-09-29,Thursday,member,14292,12.3
2024-09-29,Friday,casual,6948,18.8
2024-09-29,Friday,member,12359,12.53
2024-09-29,Saturday,casual,11532,24.89
2024-09-29,Saturday,member,12377,13.99
2024-10-06,Sunday,casual,9817,24.85
2024-10-06,Sunday,member,10606,14.27
2024-10-06,Monday,casual,5454,18.71
2024-10-06,Monday,member,12222,12
2024-10-06,Tuesday,casual,5576,19
2024-10-06,Tuesday,member,14000,12.29
2024-10-06,Wednesday,casual,5763,18.25
2024-10-06,Wednesday,member,13845,12.11
2024-10-06,Thursday,casual,7150,18.59
2024-10-06,Thursday,member,14324,12.56
2024-10-06,Friday,casual,10431,23.36
2024-10-06,Friday,member,13666,13.16
2024-10-06,Saturday,casual,11907,24.09
2024-10-06,Saturday,member,10712,13.7
2024-10-13,Sunday,casual,13477,27.79
2024-10-13,Sunday,member,9931,14.28
2024-10-13,Monday,casual,4909,21.73
2024-10-13,Monday,member,9283,11.13
2024-10-13,Tuesday,casual,1671,12.03
2024-10-13,Tuesday,member,5876,10.66
2024-10-13,Wednesday,casual,4187,17.14
2024-10-13,Wednesday,member,11315,11.5
2024-10-13,Thursday,casual,4994,18.95
2024-10-13,Thursday,member,12247,12.01
2024-10-13,Friday,casual,6451,19.5
2024-10-13,Friday,member,11476,12.5
2024-10-13,Saturday,casual,9839,26.98
2024-10-13,Saturday,member,10989,14.74
